scheme_code,scheme_name,category,status
102987,ICICI Prudential Plan I - Year Plus Plan-Growth-Direct,Other,skip
103490,Quantum Value Fund - Direct Plan Growth Option,Other,ok
103734,Quantum Liquid Fund - Direct Plan Growth Option,Liquid Fund,ok
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,ELSS,ok
112039,Quantum Diversified Equity All Cap Active FOF - Direct Plan Growth Option,FOF - Domestic,ok
115132,Quantum Gold Savings Fund - Direct Plan Growth Option,Other,ok
116811,IDBI Dynamic Bond Fund Growth Direct,Dynamic Bond,ok
117608,Quantum Multi Asset Active FOF - Direct Plan Growth Option,FOF - Domestic,ok
118266,Canara Robeco Nifty Index-Direct Plan - Growth,Index Fund,ok
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Sectoral - Infra,ok
118269,CANARA ROBECO LARGE CAP FUND - DIRECT PLAN - GROWTH OPTION,Large Cap,ok
118272,CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN - GROWTH OPTION,Aggressive Hybrid,ok
118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,Sectoral - Consumption,ok
118275,CANARA ROBECO FLEXICAP FUND - DIRECT PLAN - GROWTH OPTION,Flexi Cap,ok
118278,CANARA ROBECO LARGE AND MID CAP FUND - DIRECT PLAN - GROWTH OPTION,Mid Cap,ok
118282,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,Other,ok
118284,CANARA ROBECO DYNAMIC BOND FUND - DIRECT PLAN - GROWTH OPTION,Dynamic Bond,ok
118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,ELSS,ok
118291,CANARA ROBECO SAVINGS FUND - DIRECT PLAN - GROWTH OPTION,Other,ok
118297,Canara Robeco Gilt Advantage Fund - Direct Plan - Growth Option,Long Duration,ok
118299,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,Long Duration,ok
118301,Canara Robeco Gold Savings Fund - Direct Plan - Growth Option,Other,ok
118302,Canara Robeco InDiGo Fund - Direct Plan - Growth,Other,ok
118305,CANARA ROBECO LIQUID FUND - DIRECT PLAN - GROWTH OPTION,Liquid Fund,ok
118309,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,Hybrid - Debt Oriented,ok
118312,Canara Robeco Short Term Fund- Direct Plan - Growth,Short Duration,ok
118317,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,Short Duration,ok
118320,CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION,Short Duration,ok
118341,IDBI Gilt Fund Growth Direct,Long Duration,ok
118343,IDBI GOLD FUND Direct,Gold Fund,ok
118344,IDBI India Top 100 Equity Fund Growth Direct,Other,ok
118345,IDBI Liquid Fund Growth Direct,Liquid Fund,ok
118347,IDBI NIFTY 50  Index Fund Growth Direct,Large Cap,ok
118348,IDBI Nifty Next 50 Index Fund Growth Direct,Index Fund,ok
118349,IDBI Short Term Bond Fund Growth Direct,Short Duration,ok
118350,IDBI UST Growth Direct,Other,ok
118364,BANDHAN LIQUID Fund -Direct Plan-Growth,Liquid Fund,ok
118371,BANDHAN Low Duration Fund-Direct Plan-Growth,Other,ok
118374,Reliance Fixed Horizon Fund - XXII - Direct Plan - Growth Option,Other,ok
118379,IDFC Money Manager Fund - Investment Plan-Direct Plan-Growth,Other,ok
118384,Bandhan Money Market Fund -Direct Plan-Growth,Liquid Fund,ok
118387,Bandhan Gilt Fund with 10 year constant duration Fund - Direct Plan - Growth,Long Duration,ok
118394,Bandhan Medium to Long Duration Fund - Direct Plan - Growth,Long Duration,ok
118401,Bandhan Medium Duration Fund - Direct Plan - Growth,Medium Duration,ok
118407,Bandhan Short Duration Fund - Direct Plan - Growth,Short Duration,ok
118410,Bandhan Income Plus Arbitrage Active FOF - Direct Plan - Growth,FOF - Domestic,ok
118416,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,Dynamic Bond,ok
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Mid Cap,ok
118421,Bandhan Focused Fund - Direct Plan - Growth,Other,ok
118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,Flexi Cap,ok
118426,IDFC  50-50 Strategic Sector Fund-Direct Plan-Growth,Other,skip
118427,Indiabulls Gilt Fund - Direct Plan -  Growth Option,Long Duration,ok
118452,IDBI Equity Savings Fund Growth Option Direct,Equity Savings,ok
118454,IDBI Equity Savings Fund Option Direct,Equity Savings,ok
118464,Bandhan Gilt Fund - Direct Plan - Growth,Long Duration,ok
118469,BANDHAN Infrastructure Fund-Direct Plan-Growth,Sectoral - Infra,ok
118470,IDFC  India GDP Growth Fund-Direct Plan-Dividend,Other,skip
118471,IDFC  India GDP Growth Fund-Direct Plan-Growth,Other,skip
118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,ELSS,ok
118474,BANDHAN Arbitrage Fund-Direct Plan- Growth,Arbitrage Fund,ok
118477,BANDHAN Equity Savings Fund-Direct Plan-Growth,Equity Savings,ok
118479,BANDHAN Large Cap Fund-Direct Plan-Growth,Large Cap,ok
118481,Bandhan Value Fund - Direct Plan - Growth,Other,ok
118482,BANDHAN Nifty 50 Index Fund-Direct Plan-Growth,Large Cap,ok
118485,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,Aggressive Hybrid,ok
118486,Bandhan Conservative Hybrid Passive FOF - Direct Plan - Growth,FOF - Domestic,ok
118489,Bandhan Multi-Asset Passive FOF - Direct Plan - Growth,FOF - Domestic,ok
118491,BANDHAN Conservative Hybrid Fund-Direct Plan-Growth,Hybrid - Debt Oriented,ok
118494,Templeton India Value Fund - Direct - Growth,Other,ok
118495,Franklin India Dynamic Accrual Fund - Direct - Growth,Other,ok
118498,Franklin India Government Securities Fund - Direct - Growth,Other,ok
118499,Franklin India GOVERNMENT SECURITIES FUND TREASURY PLAN - Direct - Growth,Other,ok
118502,Franklin India GOVERNMENT SECURITIES FUND - Composite Plan - Direct - Growth,Other,ok
118504,Franklin India GOVERNMENT SECURITIES FUND PF PLAN - Direct - Growth,Other,ok
118506,Franklin India Money Market Fund - Direct - Growth,Liquid Fund,ok
118508,Franklin India Floating Rate Fund - Direct - Growth,Other,ok
118510,Franklin India Large & Mid Cap Fund - Direct - Growth,Mid Cap,ok
118512,Franklin INDIA LIFE STAGE FUND OF FUNDS - THE 20S PLAN - Direct - Growth,FOF - Domestic,ok
118514,Franklin India Life Stage Fund of Funds - The 30s Plan - Direct - Growth,FOF - Domestic,ok
118516,Franklin India Life Stage Fund of Funds - The 40s Plan - Direct - Growth,FOF - Domestic,ok
118518,Franklin India Life Stage Fund of Funds - The 50s Plus - Direct - Growth,FOF - Domestic,ok
118519,Franklin India Life Stage Fund Of Funds - The 50S Plus Floating Rate Plan - Direct - Growth,FOF - Domestic,ok
118521,Templeton India CHILDREN's ASSET PLAN EDUCATION - Direct - Growth,Solution - Children,ok
118523,Templeton India CHILDREN's ASSET PLAN GIFT - Direct - Growth,Solution - Children,ok
118525,Franklin India Small Cap Fund - Direct - Growth,Small Cap,ok
118527,Franklin India Dividend Yield Fund - Direct - Growth,Other,ok
118530,Franklin India Low Duration Fund - Direct - Growth,Other,ok
118531,Franklin India Large Cap Fund- Direct - Growth,Large Cap,ok
118533,Franklin India Mid Cap Fund - Direct - Growth,Mid Cap,ok
118535,Franklin India Flexi Cap Fund - Direct - Growth,Flexi Cap,ok
118537,Franklin India Technology Fund - Direct - Growth,Sectoral - IT,ok
118539,Franklin India Opportunities Fund - Direct - Growth,Other,ok
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,ELSS,ok
118543,Franklin India Dynamic Asset Allocation Active Fund Of Funds - Direct - Growth,Balanced Advantage,ok
118545,Franklin India INDEX FUND BSE PLAN - Direct - Growth,Index Fund,ok
118546,Franklin India Aggressive Hybrid Fund - Direct - Growth,Aggressive Hybrid,ok
118548,Franklin India Retirement Fund - Direct - Growth,Solution - Retirement,ok
118551,Franklin U.S. Opportunities Equity Active Fund of Funds - Direct - Growth,FOF - Domestic,ok
118553,Franklin India Credit Risk Fund - Direct - Growth,Credit Risk,ok
118554,Franklin India Income Opportunities Fund - Direct - Growth,Other,ok
118557,Franklin Build India Fund - Direct - Growth,Other,ok
118559,Franklin Asian Equity Fund - Direct - Growth,Other,ok
118560,Franklin India Ultra Short Bond Fund - Super Institutional Plan - Direct - Growth,Short Duration,ok
118564,Franklin India Focused Equity Fund - Direct - Growth,Other,ok
118565,Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH,Short Duration,ok
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,Other,ok
118574,Franklin India Conservative Hybrid Fund - Direct - GROWTH,Hybrid - Debt Oriented,ok
118577,Franklin India Liquid Fund - Super Institutional - Direct - Growth,Liquid Fund,ok
118581,Franklin India INDEX FUND- NSE NIFTY 50 INDEX FUND- Direct - Growth,Large Cap,ok
118583,Nippon India Quarterly Interval Fund - Series III - Direct Plan Growth Plan - Growth,Other,ok
118585,Nippon India Arbitrage Fund - Direct Plan Growth Plan - Growth Option,Arbitrage Fund,ok
118588,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option,Sectoral - Banking,ok
118589,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Growth Option,Sectoral - Banking,ok
118595,Nippon India Monthly Interval Fund - Series II - Direct Plan Growth Plan - Growth,Other,ok
118598,Nippon India Monthly Interval Fund - Series I - Direct Plan Growth Plan - Growth,Other,ok
118601,Goldman Sachs India Equity Fund - Direct Plan -Growth Option,Other,ok
118604,Goldman Sachs Short Term Fund - Direct Plan - Growth Option,Short Duration,ok
118606,Goldman Sachs CNX 500 Fund - Direct Plan - Growth Option,Other,ok
118610,Reliance Liquid Fund - Cash Plan - Direct Plan - Growth Plan - Growth Option,Liquid Fund,ok
118615,Edelweiss Balanced Advantage Fund -Direct Plan-Growth Option,Balanced Advantage,ok
118617,Edelweiss Large Cap Fund - Direct Plan-Growth option,Large Cap,ok
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,ELSS,ok
118623,Nippon India Interval Fund - Quarterly Plan - Series I - Direct Plan Growth Plan - Growth,Other,ok
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Aggressive Hybrid,ok
118631,Edelweiss Gilt Fund -Direct Plan-Growth Option,Long Duration,ok
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,Large Cap,ok
118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,Large Cap,ok
118636,Edelweiss Liquid Fund-Direct Plan-Growth Option,Liquid Fund,ok
118638,Edelweiss Equity Savings Advantage Fund- Direct Plan- Growth Option,Equity Savings,ok
118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option,Large Cap,ok
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option,Large Cap,ok
118644,Edelweiss Emerging Leaders Fund - Direct Plan- Growth,Other,ok
118646,Edelweiss Short Term Income Fund - Direct Plan- Growth Option,Short Duration,ok
118648,Edelweiss Bond Fund  -Direct Plan- Growth Option,Other,ok
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,Multi Cap,ok
118651,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,Multi Cap,ok
118656,Nippon India Floater Fund  - Direct Plan Growth Plan - Growth Option,Other,ok
118663,Nippon India Gold Savings Fund - Direct Plan Growth Plan - Growth Option,Other,ok
118665,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Mid Cap,ok
118666,NIPPON INDIA GROWTH MID CAP FUND - DIRECT Plan - IDCW Option,Mid Cap,ok
118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Mid Cap,ok
118669,Nippon India Gilt  Fund - Direct Plan - P F Option - Automatic Capital Appreciation Payout Option,Long Duration,ok
118672,Nippon India Gilt  Fund - Direct Plan Growth Plan - Growth Option,Long Duration,ok
118673,Nippon India Gilt  Fund - Direct Plan - P F Option - Defined Maturity Date Option,Long Duration,ok
118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Mid Cap,ok
118678,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Growth Option,Mid Cap,ok
118679,Nippon India Medium to Long Duration  Fund - Direct Plan Growth Plan-Bonus Option,Long Duration,ok
118687,Nippon India Medium to Long Duration Fund - Direct Plan Growth Plan - Growth Option,Long Duration,ok
118691,Nippon India Quarterly Interval Fund - Series II - Direct Plan Growth Plan - Growth,Other,ok
118692,Nippon India Focused Fund - Direct Plan Growth Plan - Growth Option,Other,ok
118701,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option,Liquid Fund,ok
118702,Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option,Other,ok
118709,Nippon India Low Duration Fund - Direct Plan Growth Plan - Growth Option,Other,ok
118715,Nippon India Money Market Fund - Direct Plan Growth Plan - Bonus Option,Liquid Fund,ok
118719,Nippon India Money Market Fund - Direct Plan Growth Plan - Growth Option,Liquid Fund,ok
118722,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus,Sectoral - Consumption,ok
118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,Sectoral - Consumption,ok
118726,Nippon India Conservative Hybrid  Fund - Direct Plan Growth Plan - Growth Option,Hybrid - Debt Oriented,ok
118736,Nippon India Balanced Advantage Fund - Direct Plan Growth Plan - Growth Option,Balanced Advantage,ok
118737,Reliance Balanced Advantage Fund - Direct Plan Growth Plan - Bonus Option,Balanced Advantage,ok
118741,Nippon India Index Fund - Nifty 50 Plan - Direct Plan Growth Plan - Growth Option,Large Cap,ok
118742,Nippon India Index Fund - Nifty 50 Plan - Direct Plan Growth Plan - Bonus Option,Large Cap,ok
118747,Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option,Dynamic Bond,ok
118753,Reliance Natural Resources Fund - Direct Plan Growth Plan - Growth Option - Growth,Other,skip
118758,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option,Sectoral - Pharma,ok
118759,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,Sectoral - Pharma,ok
118762,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Bonus Option,Sectoral - Infra,ok
118763,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,Sectoral - Infra,ok
118766,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Growth,Other,ok
118769,Nippon India Quant Fund - Direct Plan Growth Plan - Growth Option,Other,ok
118770,Nippon India Quant Fund - Direct Plan Growth Plan - Bonus Option,Other,ok
118773,Reliance Infrastructure Fund - Direct Plan Growth Plan - Growth,Sectoral - Infra,skip
118774,Reliance Infrastructure Fund - Direct Plan Growth Plan - Bonus Option - Bonus,Sectoral - Infra,skip
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,Small Cap,ok
118778,Nippon India Small Cap Fund - Direct Plan Growth Plan - Growth Option,Small Cap,ok
