Scheme Code,Scheme Name,Latest NAV,As On Date,Return_1W (%),Return_1M (%),Return_3M (%),Return_6M (%),Return_1Y (%),Return_2Y (%),Return_3Y (%),Return_5Y (%),Return_7Y (%),Return_10Y (%),SIP_1Y (%),SIP_3Y (%),SIP_5Y (%),Std_Dev_Annual (%),Downside_Dev (%),Max_Drawdown (%),VaR_95 (%),VaR_99 (%),CVaR_95 (%),Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Beta,Alpha_Annual (%),Treynor_Ratio,Info_Ratio,Upside_Capture (%),Downside_Capture (%),R_Squared,Consistency_Score,Composite_Score,Category,Rank
149828,JM Overnight Fund - (Direct) - Unclaimed IDCW - Growth Plan,1377.9221,2026-05-06,0.08,0.38,1.19,2.45,5.07,5.91,6.32,,,,2.49,2.93,2.99,0.14,0.14,-8.483505518087507e-06,0.01,0.01,0.01,-12.434,-0.783,744975.056,-0.0,-2.43,29.031,-0.394,2.5,-2.6,0.0,81.0,74503.94,Liquid Fund,1
147213,Franklin India Overnight fund- Growth,1407.2312,2026-05-06,0.1,0.42,1.27,2.61,5.41,5.95,6.19,5.49,,,2.68,2.96,3.0,0.12,0.12,-0.00018194451573052143,0.01,0.01,0.01,-21.434,-1.35,34021.361,-0.0,-3.12,12.096,-0.626,1.8,-1.8,0.001,88.3,3408.14,Liquid Fund,2
112656,Essel Ultra Short Term Fund - Retail Plan-Growth,1447.8284,2015-04-21,0.11,0.62,1.57,3.17,10592.42,970.76,398.65,,,,4867.41,357.15,156.75,4465.58,2.52,-0.4723823116482063,0.01,0.0,-0.0,0.451,50.376,843.914,4.782,4519.15,0.265,0.677,4595.2,-3.6,0.0,79.8,855.1,Short Duration,3
107481,Religare Invesco GILT Fund - Short Duration Plan - Growth,1624.7432,2015-12-22,0.11,0.39,1.45,3.31,7.12,8.12,412.74,173.31,,,3.38,150.13,132.66,3623.06,0.93,-1.0218166290974449,-0.01,-0.08,-0.06,0.366,89.507,403.928,11.657,3491.11,0.072,0.595,3611.1,-5.7,0.001,86.7,690.3,Short Duration,4
102155,Tata Floating Rate Fund - Long Term Plan- Regular Plan - Growth,2083.318,2015-11-17,0.16,0.61,1.74,3.49,7.45,980.8,402.04,172.03,,,3.73,268.65,144.03,,174.17,-100.0,0.01,-0.04,-0.89,,,4.02,-20.813,3676.19,,0.605,4.3,-4082.8,0.003,79.0,665.94,Other,5
106173,Religare Invesco Active Income Fund - Plan B - Growth,1497.6848,2016-01-20,-0.09,0.21,-0.93,2.71,3.3,6.53,392.87,170.17,,,1.32,124.04,127.48,3571.75,4.56,-12.673932992490203,-0.26,-0.66,-0.55,0.36,17.742,30.998,11.518,3426.87,0.07,0.587,3553.8,1.6,0.001,73.9,630.47,Other,6
112886,Religare Invesco Monthly Income Plan - Growth Option,1461.507,2016-01-29,0.17,-0.86,-1.62,-0.56,0.01,8.14,396.44,,,,-0.48,124.33,127.44,4265.51,2.8,-3.8160316113838917,-0.35,-0.57,-0.53,0.43,41.25,103.888,11.499,3387.79,0.1,0.585,3520.0,17.9,0.001,81.6,610.22,Hybrid - Debt Oriented,7
120525,Religare Invesco GILT Fund - Short Duration Plan - Direct Plan - Growth,1641.5373,2015-12-22,0.12,0.42,1.51,3.44,7.39,,,,,,3.52,150.88,130.38,5895.61,0.74,-0.4161184155762977,-0.03,-0.08,-0.08,0.596,300.356,,11.658,3491.78,0.19,0.595,3611.6,-5.9,0.001,64.7,560.39,Short Duration,8
120552,Religare Invesco Monthly Income Plan - Direct Plan - Growth Option,1498.8008,2016-01-29,0.18,-0.82,-1.45,-0.19,0.8,8.96,,,,,-0.07,126.08,125.03,5803.19,3.32,-3.7235590628863022,-0.4,-0.68,-0.62,0.585,64.426,,11.498,3388.82,0.186,0.585,3520.5,17.4,0.001,65.9,521.47,Hybrid - Debt Oriented,9
106414,Aditya Birla Sun Life Interval Income Fund - Quarterly Series I- Institutional Growth,1174.7644,2016-02-24,7242.32,7272.78,7356.55,7481.86,7767.74,827.9,355.52,,,,7997.55,339.31,147.16,,497.9,-100.0,0.0,0.0,-1.26,,,3.555,-12.096,2391.43,,0.579,4.8,-2611.2,0.002,67.0,436.87,Other,10
