scheme_id,fund_name,category,return_1y,return_3y,return_5y,return_10y,return_inception,sip_return_1y,sip_return_3y,sip_return_5y,rolling_avg_1y,rolling_avg_3y,rolling_avg_5y,sharpe_3y,sortino_3y,volatility_3y,max_drawdown,calmar_3y,var_95,upside_capture,downside_capture,alpha_3y,beta_3y,r_squared_3y,treynor_ratio,information_ratio,pct_pos_1y,pct_pos_3y,nav_latest,nav_date,inception_date,history_years,expert_score,category_rank,category_total,percentile_rank
120700,ICICI Prudential Aggressive Hybrid Active FOF - Direct Plan - Growth,Aggressive Hybrid,1.86,17.71,17.19,15.93,15.37,-2.75,9.65,13.84,18.58,17.33,17.99,1.27,1.7,9.9,-35.74,0.5,-1.01,63.7,78.7,10.62,0.696,0.781,0.1809,1.14,91.3,96.5,234.6234,30-Apr-2026,05-Apr-2013,13.1,74.3,1,30,3.3
147446,Mahindra Manulife Aggressive Hybrid Fund - Direct Plan -Growth,Aggressive Hybrid,2.64,16.47,15.38,11.53,17.49,-1.89,8.65,12.54,21.16,19.97,,1.06,1.33,10.45,-25.41,0.65,-1.01,68.7,83.9,7.91,0.769,0.905,0.1436,1.15,99.3,100.0,29.7912,30-Apr-2026,23-Jul-2019,6.8,73.3,2,30,6.7
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Aggressive Hybrid,5.32,16.9,16.44,14.25,13.97,2.25,9.95,13.78,16.22,14.71,14.34,1.1,1.31,10.42,-28.6,0.59,-1.04,65.8,81.9,8.44,0.759,0.884,0.1513,1.15,91.6,99.8,73.7,30-Apr-2026,08-Jan-2013,13.3,72.0,3,30,10.0
120484,JM Aggressive Hybrid Fund (Direct) - Growth Option,Aggressive Hybrid,0.64,17.94,15.32,13.3,13.27,-3.51,6.12,12.75,16.45,14.26,13.5,1.04,1.29,12.34,-36.57,0.49,-1.34,73.6,85.1,8.97,0.816,0.73,0.1571,0.96,81.7,96.7,132.1914,30-Apr-2026,03-Jan-2013,13.3,70.6,4,30,13.3
120819,quant Aggressive Hybrid Fund-Growth Option-Direct Plan,Aggressive Hybrid,11.32,15.18,15.77,16.64,16.52,10.92,10.36,12.72,20.21,17.98,18.21,0.79,1.02,12.71,-28.69,0.53,-1.29,72.6,86.8,6.37,0.819,0.694,0.1223,0.56,86.5,99.6,485.7829,30-Apr-2026,07-Jan-2013,13.3,70.0,5,30,16.7
140382,Bandhan Aggressive Hybrid Fund-Direct Plan Growth,Aggressive Hybrid,10.24,16.69,14.42,11.69,12.59,5.97,11.73,13.07,13.55,13.73,14.54,0.97,1.14,11.54,-31.55,0.53,-1.16,73.4,86.1,7.6,0.823,0.84,0.1386,1.03,85.7,94.6,30.256,30-Apr-2026,02-Jan-2017,9.3,68.4,6,30,20.0
133035,Kotak Aggressive Hybrid Fund - Direct Plan -Growth,Aggressive Hybrid,9.22,15.81,14.61,14.56,13.21,5.28,10.37,12.81,14.76,14.65,15.02,0.93,1.13,11.27,-32.14,0.49,-1.1,68.4,84.3,7.18,0.786,0.813,0.1332,0.81,88.9,98.0,74.75,30-Apr-2026,07-Nov-2014,11.5,68.1,7,30,23.3
134813,Mirae Asset Aggressive Hybrid Fund - Direct Plan - Growth,Aggressive Hybrid,7.47,14.38,13.09,14.36,13.35,4.25,9.49,11.44,15.29,14.48,15.03,0.85,1.05,10.48,-29.0,0.5,-1.0,66.3,84.5,5.88,0.773,0.91,0.115,0.74,95.3,100.0,38.508,30-Apr-2026,30-Jul-2015,10.8,65.8,8,30,26.7
120674,UTI Aggressive Hybrid Fund -Direct Plan - Growth,Aggressive Hybrid,2.6,14.77,14.47,13.01,12.62,-0.82,7.68,11.64,15.07,13.55,12.99,0.95,1.2,9.7,-32.44,0.46,-0.93,60.2,80.6,6.9,0.711,0.899,0.1293,0.71,86.8,96.3,431.2736,30-Apr-2026,02-Jan-2013,13.3,65.2,9,30,30.0
119019,DSP Aggressive Hybrid Fund - Direct Plan - Growth,Aggressive Hybrid,-1.17,14.58,12.12,13.34,13.34,-4.23,7.02,10.36,16.31,14.73,14.27,0.94,1.2,9.59,-28.81,0.51,-0.92,54.3,76.7,7.13,0.676,0.832,0.1331,0.57,85.2,100.0,389.087,30-Apr-2026,02-Jan-2013,13.3,64.4,10,30,33.3
