scheme_id,fund_name,category,return_1y,return_3y,return_5y,return_10y,return_inception,sip_return_1y,sip_return_3y,sip_return_5y,rolling_avg_1y,rolling_avg_3y,rolling_avg_5y,sharpe_3y,sortino_3y,volatility_3y,max_drawdown,calmar_3y,var_95,upside_capture,downside_capture,alpha_3y,beta_3y,r_squared_3y,treynor_ratio,information_ratio,pct_pos_1y,pct_pos_3y,nav_latest,nav_date,inception_date,history_years,expert_score,category_rank,category_total,percentile_rank
120700,ICICI Prudential Aggressive Hybrid Active FOF - Direct Plan - Growth,Aggressive Hybrid,1.86,17.71,17.19,15.93,15.37,-2.75,9.65,13.84,18.58,17.33,17.99,1.27,1.7,9.9,-35.74,0.5,-1.01,63.7,78.7,10.62,0.696,0.781,0.1809,1.14,91.3,96.5,234.6234,30-Apr-2026,05-Apr-2013,13.1,74.3,1,30,3.3
147446,Mahindra Manulife Aggressive Hybrid Fund - Direct Plan -Growth,Aggressive Hybrid,2.64,16.47,15.38,11.53,17.49,-1.89,8.65,12.54,21.16,19.97,,1.06,1.33,10.45,-25.41,0.65,-1.01,68.7,83.9,7.91,0.769,0.905,0.1436,1.15,99.3,100.0,29.7912,30-Apr-2026,23-Jul-2019,6.8,73.3,2,30,6.7
118624,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,Aggressive Hybrid,5.32,16.9,16.44,14.25,13.97,2.25,9.95,13.78,16.22,14.71,14.34,1.1,1.31,10.42,-28.6,0.59,-1.04,65.8,81.9,8.44,0.759,0.884,0.1513,1.15,91.6,99.8,73.7,30-Apr-2026,08-Jan-2013,13.3,72.0,3,30,10.0
120484,JM Aggressive Hybrid Fund (Direct) - Growth Option,Aggressive Hybrid,0.64,17.94,15.32,13.3,13.27,-3.51,6.12,12.75,16.45,14.26,13.5,1.04,1.29,12.34,-36.57,0.49,-1.34,73.6,85.1,8.97,0.816,0.73,0.1571,0.96,81.7,96.7,132.1914,30-Apr-2026,03-Jan-2013,13.3,70.6,4,30,13.3
120819,quant Aggressive Hybrid Fund-Growth Option-Direct Plan,Aggressive Hybrid,11.32,15.18,15.77,16.64,16.52,10.92,10.36,12.72,20.21,17.98,18.21,0.79,1.02,12.71,-28.69,0.53,-1.29,72.6,86.8,6.37,0.819,0.694,0.1223,0.56,86.5,99.6,485.7829,30-Apr-2026,07-Jan-2013,13.3,70.0,5,30,16.7
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,Balanced Advantage,3.13,15.98,17.75,15.71,14.25,-0.04,8.15,13.81,17.48,15.97,15.42,1.09,1.24,9.6,-34.2,0.47,-0.88,54.0,75.1,8.57,0.668,0.81,0.1562,0.75,86.0,98.1,558.922,30-Apr-2026,01-Jan-2013,13.3,70.6,1,48,2.1
148026,Sundaram Balanced Advantage Fund Direct Plan - Growth,Balanced Advantage,17.08,14.83,8.65,4.24,25.72,15.2,22.19,22.19,28.31,,,2.4,3.01,8.39,-4.81,3.08,-0.84,18.0,63.0,15.57,0.286,0.72,0.705,-0.46,100.0,,15.1454,31-Dec-2021,09-Mar-2020,1.8,70.6,1,48,2.1
132186,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct Plan - Growth Option,Balanced Advantage,6.0,15.73,13.78,13.36,12.71,2.47,9.4,12.23,13.52,13.47,13.42,1.02,1.2,10.37,-22.15,0.71,-1.02,59.3,78.0,8.12,0.72,0.761,0.1473,0.76,89.1,99.8,59.5215,30-Apr-2026,13-Oct-2014,11.5,67.6,3,48,6.2
149134,SBI Balanced Advantage Fund - Direct Plan - Growth,Balanced Advantage,5.71,13.23,10.4,5.07,11.24,3.85,8.84,11.1,13.59,14.56,,1.09,1.36,6.55,-7.39,1.79,-0.65,33.4,58.1,8.1,0.462,0.824,0.158,0.24,100.0,100.0,16.4859,30-Apr-2026,07-Sep-2021,4.6,66.7,4,48,8.3
145396,Baroda BNP Paribas Balanced Advantage Fund-Direct Plan-Growth Option,Balanced Advantage,8.74,14.58,12.91,10.61,14.51,5.7,9.99,12.02,16.03,15.94,,0.89,1.07,10.13,-20.72,0.7,-1.05,59.1,80.0,6.68,0.719,0.842,0.1259,0.61,97.3,100.0,27.4938,30-Apr-2026,20-Nov-2018,7.4,66.5,5,48,10.4
